=== Pruebas por tamaño | matrizsecuencial.c | gcc -O3 ===
Tamaño: 400 | Ejecución 1 | Tiempo: 0.022706s
Tamaño: 400 | Ejecución 2 | Tiempo: 0.023084s
Tamaño: 400 | Ejecución 3 | Tiempo: 0.023010s
Tamaño: 400 | Ejecución 4 | Tiempo: 0.023250s
Tamaño: 400 | Ejecución 5 | Tiempo: 0.022744s
Tamaño: 400 | Ejecución 6 | Tiempo: 0.022796s
Tamaño: 400 | Ejecución 7 | Tiempo: 0.022546s
Tamaño: 400 | Ejecución 8 | Tiempo: 0.022945s
Tamaño: 400 | Ejecución 9 | Tiempo: 0.022695s
Tamaño: 400 | Ejecución 10 | Tiempo: 0.022817s
Tamaño: 600 | Ejecución 1 | Tiempo: 0.075892s
Tamaño: 600 | Ejecución 2 | Tiempo: 0.076906s
Tamaño: 600 | Ejecución 3 | Tiempo: 0.076644s
Tamaño: 600 | Ejecución 4 | Tiempo: 0.079784s
Tamaño: 600 | Ejecución 5 | Tiempo: 0.081419s
Tamaño: 600 | Ejecución 6 | Tiempo: 0.079661s
Tamaño: 600 | Ejecución 7 | Tiempo: 0.076678s
Tamaño: 600 | Ejecución 8 | Tiempo: 0.076995s
Tamaño: 600 | Ejecución 9 | Tiempo: 0.076353s
Tamaño: 600 | Ejecución 10 | Tiempo: 0.076156s
Tamaño: 800 | Ejecución 1 | Tiempo: 0.182095s
Tamaño: 800 | Ejecución 2 | Tiempo: 0.180297s
Tamaño: 800 | Ejecución 3 | Tiempo: 0.180382s
Tamaño: 800 | Ejecución 4 | Tiempo: 0.179561s
Tamaño: 800 | Ejecución 5 | Tiempo: 0.179341s
Tamaño: 800 | Ejecución 6 | Tiempo: 0.179611s
Tamaño: 800 | Ejecución 7 | Tiempo: 0.179494s
Tamaño: 800 | Ejecución 8 | Tiempo: 0.181520s
Tamaño: 800 | Ejecución 9 | Tiempo: 0.179824s
Tamaño: 800 | Ejecución 10 | Tiempo: 0.181352s
Tamaño: 1600 | Ejecución 1 | Tiempo: 1.882021s
Tamaño: 1600 | Ejecución 2 | Tiempo: 1.728323s
Tamaño: 1600 | Ejecución 3 | Tiempo: 1.676930s
Tamaño: 1600 | Ejecución 4 | Tiempo: 1.690645s
Tamaño: 1600 | Ejecución 5 | Tiempo: 1.658696s
Tamaño: 1600 | Ejecución 6 | Tiempo: 1.676573s
Tamaño: 1600 | Ejecución 7 | Tiempo: 1.706701s
Tamaño: 1600 | Ejecución 8 | Tiempo: 1.651132s
Tamaño: 1600 | Ejecución 9 | Tiempo: 1.646274s
Tamaño: 1600 | Ejecución 10 | Tiempo: 1.694383s
Tamaño: 3000 | Ejecución 1 | Tiempo: 12.346949s
Tamaño: 3000 | Ejecución 2 | Tiempo: 12.251044s
Tamaño: 3000 | Ejecución 3 | Tiempo: 12.323326s
Tamaño: 3000 | Ejecución 4 | Tiempo: 12.366906s
Tamaño: 3000 | Ejecución 5 | Tiempo: 12.248344s
Tamaño: 3000 | Ejecución 6 | Tiempo: 12.563998s
Tamaño: 3000 | Ejecución 7 | Tiempo: 12.670823s
Tamaño: 3000 | Ejecución 8 | Tiempo: 12.774008s
Tamaño: 3000 | Ejecución 9 | Tiempo: 12.921574s
Tamaño: 3000 | Ejecución 10 | Tiempo: 12.624480s
Tamaño: 3200 | Ejecución 1 | Tiempo: 15.410337s
Tamaño: 3200 | Ejecución 2 | Tiempo: 15.202228s
Tamaño: 3200 | Ejecución 3 | Tiempo: 15.403819s
Tamaño: 3200 | Ejecución 4 | Tiempo: 15.290779s
Tamaño: 3200 | Ejecución 5 | Tiempo: 15.602203s
Tamaño: 3200 | Ejecución 6 | Tiempo: 15.230491s
Tamaño: 3200 | Ejecución 7 | Tiempo: 15.341991s
Tamaño: 3200 | Ejecución 8 | Tiempo: 15.285658s
Tamaño: 3200 | Ejecución 9 | Tiempo: 15.540379s
Tamaño: 3200 | Ejecución 10 | Tiempo: 15.485459s
